symbol,window,selected_artifact_prefix,artifact_completeness,final_portfolio,buy_hold,ppo_minus_buy_hold,ppo_vs_buy_hold_pct,sharpe,drawdown_if_available,benchmark_result,risk_result,stability_result,leakage_or_embargo_status,paper_observation_support,audit_decision,reason
AAPL,1080-1800,ppo_AAPL_window10,COMPLETE_ARTIFACT_SET,100191.52,86788.15,13403.37,15.443779,2.698,0.06,BEATS_CASH_AND_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Observed in v1.56 multi-order plan, then disappeared; does not establish stable candidate support.",INCONCLUSIVE_REQUIRES_MORE_EVIDENCE,"Artifact beats cash and buy-and-hold, but symbol-level evidence is mixed across complete windows."
AAPL,2160-2880,ppo_AAPL_window19,COMPLETE_ARTIFACT_SET,100229.12,105948.15,-5719.03,-5.397952,2.404,0.09,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Observed in v1.56 multi-order plan, then disappeared; does not establish stable candidate support.",FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
AAPL,720-1440,ppo_AAPL_window7,COMPLETE_ARTIFACT_SET,100094.77,108421.35,-8326.58,-7.679834,4.766,0.01,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Observed in v1.56 multi-order plan, then disappeared; does not establish stable candidate support.",FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
AMD,1080-1800,ppo_AMD_window10,COMPLETE_ARTIFACT_SET,100127.61,92767.31,7360.3,7.934153,2.248,0.05,BEATS_CASH_AND_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Recurring AMD buy across no-submit observations, but strongest recurrence occurred inside unstable multi-order plans.",INCONCLUSIVE_REQUIRES_MORE_EVIDENCE,"Artifact beats cash and buy-and-hold, but symbol-level evidence is mixed across complete windows."
AMD,1560-2280,ppo_AMD_window14,COMPLETE_ARTIFACT_SET,100532.24,115139.65,-14607.41,-12.68669,2.246,0.25,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,ELEVATED_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Recurring AMD buy across no-submit observations, but strongest recurrence occurred inside unstable multi-order plans.",FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
AMD,2040-2760,ppo_AMD_window18,COMPLETE_ARTIFACT_SET,100166.64,118846.56,-18679.92,-15.717678,1.79,0.09,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,"Recurring AMD buy across no-submit observations, but strongest recurrence occurred inside unstable multi-order plans.",FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
MRK,1200-1920,ppo_MRK_window11,COMPLETE_ARTIFACT_SET,100408.55,85670.83,14737.72,17.202728,2.361,0.21,BEATS_CASH_AND_BUY_HOLD,ELEVATED_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,No direct candidate support in v1.47-v1.59 no-submit summary.,INCONCLUSIVE_REQUIRES_MORE_EVIDENCE,"Artifact beats cash and buy-and-hold, but symbol-level evidence is mixed across complete windows."
MRK,1920-2640,ppo_MRK_window17,COMPLETE_ARTIFACT_SET,100128.22,109548.14,-9419.92,-8.598886,3.094,0.02,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,No direct candidate support in v1.47-v1.59 no-submit summary.,FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
MRK,2280-3000,ppo_MRK_window20,COMPLETE_ARTIFACT_SET,100150.58,108815.21,-8664.63,-7.962701,3.03,0.05,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,No direct candidate support in v1.47-v1.59 no-submit summary.,FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
PFE,1200-1920,ppo_PFE_window11,COMPLETE_ARTIFACT_SET,100043.2,84877.49,15165.71,17.867764,3.358,0.01,BEATS_CASH_AND_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,Observed in v1.47 multi-order plan only; no stable candidate support established.,INCONCLUSIVE_REQUIRES_MORE_EVIDENCE,"Artifact beats cash and buy-and-hold, but symbol-level evidence is mixed across complete windows."
PFE,1920-2640,ppo_PFE_window17,COMPLETE_ARTIFACT_SET,100353.97,113385.16,-13031.19,-11.492853,2.956,0.1,BEATS_CASH_ONLY_UNDERPERFORMS_BUY_HOLD,LOW_REPORTED_DRAWDOWN,MIXED_BENCHMARK_STABILITY,NOT_VERIFIED_IN_V1.63_LOCAL_ARTIFACT_AUDIT,Observed in v1.47 multi-order plan only; no stable candidate support established.,FAIL_FOR_TRADING_EDGE,Artifact does not consistently beat buy-and-hold under the stricter audit standard.
